NO,UPT,X,GARDU INDUK,JADWAL RENCANA,REALISASI,STATUS,JENIS ANOMALI,Status FIX,,,,
123,UPT BEKASI,BEKASI,GISTET 500KV NEW TAMBUN,5/30/2025,5/30/2025,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
124,UPT BEKASI,BEKASI,GITET 500KV CIBATU,1/31/2026,1/31/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
125,UPT BEKASI,BEKASI,GITET 500KV CIBATU,1/31/2026,1/31/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
126,UPT BEKASI,BEKASI,GI 150KV CIBATU,,,Poor,TS - AHI pada aset kritikal kategori Good,Open,,,,
127,UPT BEKASI,BEKASI,GI 150KV CIBATU,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
128,UPT BEKASI,BEKASI,GI 150KV MEKARSARI,,,Critical,TS - AHI pada aset kritikal kategori Good,Open,,,,
129,UPT BEKASI,BEKASI,GI 150KV MEKARSARI,,,Fair,TS - AHI pada aset kritikal kategori Good,Open,,,,
130,UPT BEKASI,BEKASI,GI 150KV MEKARSARI,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
131,UPT BEKASI,BEKASI,GI 150KV MEKARSARI,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
132,UPT BEKASI,BEKASI,GI 150KV PINAYUNGAN,,,Poor,TS - AHI pada aset kritikal kategori Good,Open,,,,
133,UPT BEKASI,BEKASI,GI 150KV PINAYUNGAN,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
134,UPT BEKASI,BEKASI,GI 150KV PINAYUNGAN,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
135,UPT BEKASI,BEKASI,GI 150KV PINAYUNGAN,1/31/2026,1/31/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
136,UPT BEKASI,BEKASI,GITET 500KV CIBATU,2/28/2026,2/28/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
137,UPT BEKASI,BEKASI,GI 150KV SUKAMAHI,,,,TS - AHI pada aset kritikal kategori Good,Open,,,,
138,UPT BEKASI,BEKASI,GI 150KV SUKAMAHI,,,,TS - AHI pada aset kritikal kategori Good,Open,,,,
139,UPT BEKASI,BEKASI,GI 150KV MARGAKARYA,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
