NO,NAMAUPT,GARDU INDUK,BAY_PENGHANTAR,MERK,TIPE,TGL_OPRS,THN_BUAT,USIA,FASA,MERK BUSHING,TYPE BUSHING,NO SERI,JENIS BUSHING ,LEVEL MINYAK,HASIL THERMOVISI,KONDISI FISIK,Nilai Tadel,HASIL UJI TANDEL,KONDISI CENTER TAP,KETERANGAN,
107,UPT PURWOKERTO,GI 150KV MAJENANG,TRF#2 150/20KV,PAUWELS TRAFO ASIA,ORF.30/275,8-Agu-2002,2000,23,S,HAEFELY TRENCH,COT-750-800/03001340,B6101,BELUM DI KETAHUI,,,,,GOOD,,,
108,UPT PURWOKERTO,GI 150KV MAJENANG,TRF#2 150/20KV,PAUWELS TRAFO ASIA,ORF.30/275,8-Agu-2002,2000,23,T,HAEFELY TRENCH,COT-750-800/03001340,B6103,BELUM DI KETAHUI,,,,,GOOD,,,
109,UPT PURWOKERTO,GI 150KV LOMANIS,TRF#2 150/20kV,UNINDO,MPT,3-Okt-2017,2015,8,R,PASSONIVILLA,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
110,UPT PURWOKERTO,GI 150KV LOMANIS,TRF#2 150/20kV,UNINDO,MPT,3-Okt-2017,2015,8,S,PASSONIVILLA,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
111,UPT PURWOKERTO,GI 150KV LOMANIS,TRF#2 150/20kV,UNINDO,MPT,3-Okt-2017,2015,8,T,PASSONIVILLA,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
112,UPT PURWOKERTO,GI 150KV MRICA,TRF#2 150/20kV,CG PAUWELS,ORF.60/275,13-Des-2014,2014,11,R,,,,RIP,,,,,,,,
113,UPT PURWOKERTO,GI 150KV MRICA,TRF#2 150/20kV,CG PAUWELS,ORF.60/275,13-Des-2014,2014,11,S,,,,RIP,,,,,,,,
114,UPT PURWOKERTO,GI 150KV MRICA,TRF#2 150/20kV,CG PAUWELS,ORF.60/275,13-Des-2014,2014,11,T,,,,RIP,,,,,,,,
115,UPT PURWOKERTO,GI 150KV MAJENANG,TRF#1 150/22KV,UNINDO,TTUB150/60000,6-Jun-1990,1987,36,,HAEFELY TRENCH,,,OIP,KURANG JELAS,NORMAL,NORMAL,,GOOD,NORMAL,,
116,UPT PURWOKERTO,GI 150KV MAJENANG,TRF#1 150/22KV,UNINDO,TTUB150/60000,6-Jun-1990,1987,36,,HAEFELY TRENCH,,,OIP,KURANG JELAS,NORMAL,NORMAL,,GOOD,NORMAL,,
117,UPT PURWOKERTO,GI 150KV MAJENANG,TRF#1 150/22KV,UNINDO,TTUB150/60000,6-Jun-1990,1987,36,,HAEFELY TRENCH,,,OIP,KURANG JELAS,NORMAL,NORMAL,,GOOD,NORMAL,,
118,UPT PURWOKERTO,GI 150KV MAJENANG,TRF#3 150/20kV,UNINDO,MPT,31-Mei-2016,2014,10,R,PASSONIVILLA,,,BELUM DI KETAHUI,,,,,GOOD,,,
